FOI Number,FOI Date (Machine),FOI Date (Human),FOI Title,FOI URL,PDF INDEX,PDF COUNT,PDF URL,Processed
4137-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4137 – release of document – ATAGI working group meeting document,https://www.health.gov.au/resources/foi-disclosure-log/foi-4137-release-of-document-atagi-working-group-meeting-document,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4137-release-of-document-atagi-working-group-meeting-document.pdf,Downloaded
4181-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4181 – release of documents – Documents relating to the department’s policy and guidelines,https://www.health.gov.au/resources/foi-disclosure-log/foi-4181-release-of-documents-documents-relating-to-the-departments-policy-and-guidelines,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4181-release-of-documents-documents-relating-to-the-department-s-policy-and-guidelines.pdf,Downloaded
4273-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4273 – release of document – My Aged Care Hospital Portal Privacy Impact Assessment,https://www.health.gov.au/resources/foi-disclosure-log/foi-4273-release-of-document-my-aged-care-hospital-portal-privacy-impact-assessment,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4273-release-of-document-my-aged-care-hospital-portal-privacy-impact-assessment.pdf,Downloaded
4278-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4278 – document for release – Documents relating to COVIDSafe app,https://www.health.gov.au/resources/foi-disclosure-log/foi-4278-document-for-release-documents-relating-to-covidsafe-app,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4278-document-for-release-documents-relating-to-covidsafe-app.pdf,Downloaded
4294-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4294 – release of documents – Documents relating to the COVIDSafe app,https://www.health.gov.au/resources/foi-disclosure-log/foi-4294-release-of-documents-documents-relating-to-the-covidsafe-app,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4294-release-of-documents-documents-relating-to-the-covidsafe-app.pdf,Downloaded
4329-2023,2023-05-08T12:00:00Z,8 May 2023,FOI 4329 – release documents – Disability Support for Older Australians program funding model documents,https://www.health.gov.au/resources/foi-disclosure-log/foi-4329-release-documents-disability-support-for-older-australians-program-funding-model-documents,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4329-release-documents-disability-support-for-older-australians-program-funding-model-documents.pdf,Downloaded
4239-2023,2023-05-08T12:00:00Z,8 May 2023,FOI 4239 – Communication with Italian Health Ministry,https://www.health.gov.au/resources/foi-disclosure-log/foi-4239-communication-with-italian-health-ministry,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4239-communication-with-italian-health-ministry.pdf,Downloaded
4307-2023,2023-05-08T12:00:00Z,8 May 2023,FOI 4307 – Change of aged care service provider's name,https://www.health.gov.au/resources/foi-disclosure-log/foi-4307-change-of-aged-care-service-providers-name,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4307-change-of-aged-care-service-provider-s-name.pdf,Downloaded
4275-2023,2023-05-04T12:00:00Z,4 May 2023,FOI 4275 – documents released – PBAC recommendations to changes to Maximum Dispensed Quantities under the PBS,https://www.health.gov.au/resources/foi-disclosure-log/foi-4275-documents-released-pbac-recommendations-to-changes-to-maximum-dispensed-quantities-under-the-pbs,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4275-documents-released-pbac-recommendations-to-changes-to-maximum-dispensed-quantities-under-the-pbs.pdf,Downloaded
4286-2023,2023-05-02T12:00:00Z,2 May 2023,"FOI 4286 – release documents – Correspondence between Assistant Minister Kearney and the Pharmacy Guild of Australia, 31 May 2022 to 3 March 2023",https://www.health.gov.au/resources/foi-disclosure-log/foi-4286-release-documents-correspondence-between-assistant-minister-kearney-and-the-pharmacy-guild-of-australia-31-may-2022-to-3-march-2023,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4286-release-documents-correspondence-between-assistant-minister-kearney-and-the-pharmacy-guild-of-australia-31-may-2022-to-3-march-2023.pdf,Downloaded
3611-2023,2023-04-24T12:00:00Z,24 April 2023,FOI 4299 - document released - GEF decision of Oceania Gymnastics,https://www.health.gov.au/resources/foi-disclosure-log/foi-4299-document-released-gef-decision-of-oceania-gymnastics,1,1,https://www.health.gov.au/sites/default/files/2023-04/foi-4299---document-released---gef-decision-of-oceania-gymnastics.pdf,Downloaded
4142-2023,2023-03-23T12:00:00Z,23 March 2023,FOI 4142 – release documents – Minister Butler’s Statement of Reasons to approve a pharmacy to supply pharmaceutical benefits – 2022,https://www.health.gov.au/resources/foi-disclosure-log/foi-4142-release-documents-minister-butlers-statement-of-reasons-to-approve-a-pharmacy-to-supply-pharmaceutical-benefits-2022,1,1,https://www.health.gov.au/sites/default/files/2023-03/foi-4142-release-documents-minister-butler-s-statement-of-reasons-to-approve-a-pharmacy-to-supply-pharmaceutical-benefits-2022.pdf,Downloaded
4140-2023,2023-03-21T12:00:00Z,21 March 2023,FOI 4140 - Australian Government will not be extending the 10 additional sessions under the Better Access program beyond 31 December 2022,https://www.health.gov.au/resources/foi-disclosure-log/foi-4140-australian-government-will-not-be-extending-the-10-additional-sessions-under-the-better-access-program-beyond-31-december-2022,1,1,https://www.health.gov.au/sites/default/files/2023-03/foi-4140---australian-government-will-not-be-extending-the-10-additional-sessions-under-the-better-access-program-beyond-31-december-2022.pdf,Downloaded
